critic,fresh,imdb,publication,quote,review_date,rtid,title,quote_len,qt
Janet Maslin,1,118749.0,New York Times,"Everything about Boogie Nights is interestingly unexpected, even the few seconds of darkness before the film's neon title blasts onto the screen. The director, Paul Thomas Anderson, [displays talent that] is as big and exuberant as skywriting.",2000-01-01,14134.0,Boogie Nights,37,everything about boogie nights is interestingly unexpected even the few seconds of darkness before the films neon title blasts onto the screen the director paul thomas anderson displays talent that is as big and exuberant as skywriting
,1,118749.0,USA Today,"A concise, vigorously told yarn with a strong point of view and a deftly juggled cast containing at least a few familiar faces.",2000-01-01,14134.0,Boogie Nights,23,a concise vigorously told yarn with a strong point of view and a deftly juggled cast containing at least a few familiar faces
James Berardinelli,1,118749.0,ReelViews,"Boogie Nights isn't just an expose of the porn industry -- it's a provocative and involving character study, as well.",2000-01-01,14134.0,Boogie Nights,20,boogie nights isnt just an expose of the porn industry    its a provocative and involving character study as well
Pauline Kael,0,90329.0,New Yorker,"Weir, an Australian filming in this country for the first time, has succumbed to blandness.",2013-01-14,14194.0,Witness,15,weir an australian filming in this country for the first time has succumbed to blandness
Variety Staff,1,90329.0,Variety,"Witness warms up as the attraction builds between Ford, McGillis and Haas -- all performing excellently through this portion.",2010-07-06,14194.0,Witness,19,witness warms up as the attraction builds between ford mcgillis and haas    all performing excellently through this portion
James Berardinelli,1,90329.0,ReelViews,Playing John Book allowed viewers the opportunity to see Ford the actor instead of Ford the action/adventure icon. It is one of the few times he has been given the opportunity to play in a straight drama.,2008-06-10,14194.0,Witness,37,playing john book allowed viewers the opportunity to see ford the actor instead of ford the actionadventure icon it is one of the few times he has been given the opportunity to play in a straight drama
,1,90329.0,Time Out,"Powerful, assured, full of beautiful imagery and thankfully devoid of easy moralising, it also offers a performance of surprising skill and sensitivity from Ford.",2006-01-26,14194.0,Witness,24,powerful assured full of beautiful imagery and thankfully devoid of easy moralising it also offers a performance of surprising skill and sensitivity from ford
Roger Ebert,1,90329.0,Chicago Sun-Times,Harrison Ford has never given a better performance in a movie.,2004-10-23,14194.0,Witness,11,harrison ford has never given a better performance in a movie
Vincent Canby,0,90329.0,New York Times,"It's pretty to look at and it contains a number of good performances, but there is something exhausting about its neat balancing of opposing manners and values.",2003-05-20,14194.0,Witness,27,its pretty to look at and it contains a number of good performances but there is something exhausting about its neat balancing of opposing manners and values
Liam Lacey,0,120201.0,Globe and Mail,"Lacking the sophistication of the average comic book, it compensates with panoramic attack sequences, reminiscent of the Japanese swarm attacks in American war movies.",2002-04-12,13719.0,Starship Troopers,24,lacking the sophistication of the average comic book it compensates with panoramic attack sequences reminiscent of the japanese swarm attacks in american war movies
Kenneth Turan,1,120201.0,Los Angeles Times,"A jaw-dropping experience, so rigorously one-dimensional and free from even the pretense of intelligence it's hard not to be astonished and even mesmerized by what is on the screen.",2001-02-14,13719.0,Starship Troopers,29,a jaw dropping experience so rigorously one dimensional and free from even the pretense of intelligence its hard not to be astonished and even mesmerized by what is on the screen
Susan Stark,1,120201.0,Detroit News,May just be the bug movie to end all bug movies.,2000-01-01,13719.0,Starship Troopers,11,may just be the bug movie to end all bug movies
Mick LaSalle,1,120201.0,San Francisco Chronicle,Manages to be both fun and shocking -- sometimes in the same shot.,2000-01-01,13719.0,Starship Troopers,13,manages to be both fun and shocking    sometimes in the same shot
Janet Maslin,0,120201.0,New York Times,"As written by Ed Neumeier, who also wrote Verhoeven's much tighter Robocop, Starship Troopers never gets over its 180-degree swivel from teen-age love story to murderous destruction.",2000-01-01,13719.0,Starship Troopers,27,as written by ed neumeier who also wrote verhoevens much tighter robocop starship troopers never gets over its  degree swivel from teen age love story to murderous destruction
Richard Schickel,0,120201.0,TIME Magazine,Maybe the filmmakers are so lost in their slambang visual effects that they don't give a hoot about the movie's scariest implications.,2000-01-01,13719.0,Starship Troopers,22,maybe the filmmakers are so lost in their slambang visual effects that they dont give a hoot about the movies scariest implications
Mike Clark,1,120201.0,USA Today,Director Paul Verhoeven is back in his subversively nimble RoboCop groove with the uproariously cheeky Starship Troopers.,2000-01-01,13719.0,Starship Troopers,17,director paul verhoeven is back in his subversively nimble robocop groove with the uproariously cheeky starship troopers
Roger Ebert,0,120201.0,Chicago Sun-Times,"The action sequences are heavily laden with special effects, but curiously joyless.",2000-01-01,13719.0,Starship Troopers,12,the action sequences are heavily laden with special effects but curiously joyless
Andrew Sarris,1,118901.0,New York Observer,"...it emerges as a magically entertaining blend of heart, soul, mind, wit, farce and, finally, an idyllic idealism.",2007-04-27,15672.0,Critical Care,18,it emerges as a magically entertaining blend of heart soul mind wit farce and finally an idyllic idealism
Lisa Alspector,0,119707.0,Chicago Reader,"The most stimulating, satisfying aspect of this action fantasy is the theme music.",2009-09-09,10903.0,Mortal Kombat: Annihilation,13,the most stimulating satisfying aspect of this action fantasy is the theme music
Derek Adams,0,119707.0,Time Out,It's a toss up which aspect of this drivel is worst.,2009-02-27,10903.0,Mortal Kombat: Annihilation,11,its a toss up which aspect of this drivel is worst
Daniel M. Kimmel,0,119707.0,Variety,Pic consists largely of choppily edited fight scenes (usually involving somersaults and back flips) combined with various computer graphic effects.,2004-05-14,10903.0,Mortal Kombat: Annihilation,20,pic consists largely of choppily edited fight scenes usually involving somersaults and back flips combined with various computer graphic effects
Peter Stack,0,119707.0,San Francisco Chronicle,"Its dazzling special effects make its combatants flip and fly, spin and soar, all the while punching and kicking each other like jackhammers, only to leave viewers utterly unmoved.",2000-01-01,10903.0,Mortal Kombat: Annihilation,29,its dazzling special effects make its combatants flip and fly spin and soar all the while punching and kicking each other like jackhammers only to leave viewers utterly unmoved
James Berardinelli,0,119707.0,ReelViews,"It's just an excuse for a series of tedious, repetitious fight scenes that have been staged with no hint whatsoever of originality.",2000-01-01,10903.0,Mortal Kombat: Annihilation,22,its just an excuse for a series of tedious repetitious fight scenes that have been staged with no hint whatsoever of originality
Lawrence Van Gelder,0,119707.0,New York Times,Here's the lowdown on the latest chapter in Mortal Kombat: deadly dull.,2000-01-01,10903.0,Mortal Kombat: Annihilation,12,heres the lowdown on the latest chapter in mortal kombat deadly dull
Jay Boyar,1,120382.0,Orlando Sentinel,"The important thing is that Carrey and the filmmakers have taken pains to give Truman that soul -- which, in itself, provides a kind of depth. In any case, it gets you to care about how it's going to end.",2013-06-19,10679.0,The Truman Show,40,the important thing is that carrey and the filmmakers have taken pains to give truman that soul    which in itself provides a kind of depth in any case it gets you to care about how its going to end
David Edelstein,1,120382.0,Slate,"The movie might have been a soulless exercise without [Carrey]. With him, it has an authentic tremulousness, and also a dread, as if Pinocchio needed to take on Gepetto and Jiminy Crickett to become a real boy.",2013-06-19,10679.0,The Truman Show,37,the movie might have been a soulless exercise without carrey with him it has an authentic tremulousness and also a dread as if pinocchio needed to take on gepetto and jiminy crickett to become a real boy
Michael Wilmington,1,120382.0,Chicago Tribune,It's a satire/comedy/fantasy about the future of television and the people caught in its omnipresent electronic net: a supremely intelligent jape about a man named Truman Burbank.,2013-06-19,10679.0,The Truman Show,27,its a satirecomedyfantasy about the future of television and the people caught in its omnipresent electronic net a supremely intelligent jape about a man named truman burbank
